Tm,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
New York Jets*,12,4,.750,416,266,150,9.4,1.8,11.2,5.4,5.8
Miami Dolphins+,10,6,.625,321,265,56,3.5,2.4,5.9,-0.7,6.5
Buffalo Bills+,10,6,.625,400,333,67,4.2,1.0,5.2,4.4,0.7
New England Patriots+,9,7,.563,337,329,8,0.5,3.4,3.9,1.1,2.8
Indianapolis Colts,3,13,.188,310,444,-134,-8.4,3.0,-5.4,-0.1,-5.3
Jacksonville Jaguars*,11,5,.688,392,338,54,3.4,-0.9,2.5,3.1,-0.6
Tennessee Oilers,8,8,.500,330,320,10,0.6,-0.6,0.0,-0.5,0.5
Pittsburgh Steelers,7,9,.438,263,303,-40,-2.5,-1.3,-3.8,-5.1,1.3
Baltimore Ravens,6,10,.375,269,335,-66,-4.1,-1.3,-5.4,-5.2,-0.2
Cincinnati Bengals,3,13,.188,268,452,-184,-11.5,0.5,-11.0,-4.5,-6.5
Denver Broncos*,14,2,.875,501,309,192,12.0,-3.1,8.9,9.5,-0.6
Oakland Raiders,8,8,.500,288,356,-68,-4.3,-1.4,-5.6,-4.1,-1.5
Seattle Seahawks,8,8,.500,372,310,62,3.9,-2.4,1.5,0.9,0.6
Kansas City Chiefs,7,9,.438,327,363,-36,-2.3,-0.8,-3.1,-0.7,-2.4
San Diego Chargers,5,11,.313,241,342,-101,-6.3,-2.1,-8.4,-7.7,-0.7
Dallas Cowboys*,10,6,.625,381,275,106,6.6,-3.1,3.5,0.9,2.6
Arizona Cardinals+,9,7,.563,325,378,-53,-3.3,-4.1,-7.4,-1.6,-5.8
New York Giants,8,8,.500,287,309,-22,-1.4,-1.9,-3.2,-4.3,1.1
Washington Redskins,6,10,.375,319,421,-102,-6.4,-1.1,-7.5,-1.5,-6.0
Philadelphia Eagles,3,13,.188,161,344,-183,-11.4,-1.3,-12.8,-12.3,-0.5
Minnesota Vikings*,15,1,.938,556,296,260,16.3,-1.4,14.9,13.2,1.6
Green Bay Packers+,11,5,.688,408,319,89,5.6,-0.6,5.0,4.3,0.7
Tampa Bay Buccaneers,8,8,.500,314,295,19,1.2,0.1,1.3,-2.3,3.5
Detroit Lions,5,11,.313,306,378,-72,-4.5,1.1,-3.4,-1.9,-1.5
Chicago Bears,4,12,.250,276,368,-92,-5.8,2.0,-3.7,-3.4,-0.3
Atlanta Falcons*,14,2,.875,442,289,153,9.6,0.4,10.0,7.0,3.0
San Francisco 49ers+,12,4,.750,479,328,151,9.4,1.2,10.6,8.8,1.8
New Orleans Saints,6,10,.375,305,359,-54,-3.4,3.5,0.1,-1.5,1.6
Carolina Panthers,4,12,.250,336,413,-77,-4.8,3.5,-1.3,1.0,-2.4
St. Louis Rams,4,12,.250,285,378,-93,-5.8,3.5,-2.3,-2.3,0.0
