StadiumID,Active,Name,Address,City,State,Zip,Country,Capacity,GeoLat,GeoLong
1,True,Honda Center,2695 E. Katella Ave.,Anaheim,CA,92806,USA,17174.0,33.807778,-117.876667
2,True,Desert Diamond Arena,9400 W. Maryland Ave.,Glendale,AZ,85305,USA,17125.0,33.531944,-112.261111
3,True,TD Garden,100 Legends Way,Boston,MA,2114,USA,17565.0,42.366303,-71.062228
4,True,KeyBank Center,One Seymour H. Knox III Plaza,Buffalo,NY,14203,USA,18690.0,42.875,-78.876389
5,True,PNC Arena,1400 Edwards Mill Road,Raleigh,NC,27607,USA,18680.0,35.803333,-78.721944
6,True,Nationwide Arena,200 W. Nationwide Blvd.,Columbus,OH,43215,USA,18144.0,39.969283,-83.006111
7,True,Scotiabank Saddledome,555 Saddledome Rise S.E.,Calgary,AB,T2G 2W1,CAN,19289.0,51.0375,-114.051944
8,True,United Center,1901 W. Madison St.,Chicago,IL,60612,USA,19717.0,41.880556,-87.674167
9,True,Ball Arena,1000 Chopper Circle,Denver,CO,80204,USA,18007.0,39.748611,-105.0075
10,True,American Airlines Center,2500 Victory Ave.,Dallas,TX,75219,USA,18532.0,32.790556,-96.810278
11,True,Little Caesars Arena,2645 Woodward Ave,Detroit,MI,48201,USA,20491.0,42.551262,-83.217862
12,True,Rogers Place,7424 118th Avenue,Edmonton,AB,T5B 4M9,CAN,16839.0,53.571389,-113.456111
13,True,FLA Live Arena,One Panther Parkway,Sunrise,FL,33323,USA,17040.0,26.158333,-80.325556
14,True,Crypto.com Arena,1111 S. Figueroa St.,Los Angeles,CA,90015,USA,18997.0,34.043056,-118.267222
15,True,Xcel Energy Center,199 W. Kellogg Blvd.,St. Paul,MN,55102,USA,18064.0,44.944722,-93.101111
16,True,Bell Centre,1909 Avenue des Canadiens-de-Montreal,Montreal,QC,H3B 5E8,CAN,21273.0,45.496111,-73.569444
17,True,Bridgestone Arena,501 Broadway,Nashville,TN,37203,USA,17113.0,36.159167,-86.778611
18,True,Prudential Center,165 Mulberry St.,Newark,NJ,7102,USA,17625.0,40.733611,-74.171111
19,True,Barclays Center,620 Atlantic Ave.,Brooklyn,NY,11217,USA,15813.0,40.682661,-73.975225
20,True,Madison Square Garden,Four Pennsylvania Plaza,New York,NY,10001,USA,18200.0,40.750556,-73.993611
21,True,Canadian Tire Centre,1000 Palladium Drive,Ottawa,ON,K2V 1A5,CAN,19153.0,45.296944,-75.927222
22,True,Wells Fargo Center,3601 S. Broad St.,Philadelphia,PA,19148,USA,19537.0,39.901111,-75.171944
23,True,PPG Paints Arena,1001 Fifth Ave.,Pittsburgh,PA,15219,USA,18387.0,40.439444,-79.989167
24,True,SAP Center,525 W. Santa Clara St.,San Jose,CA,95113,USA,17562.0,37.332778,-121.901111
25,True,Enterprise Center,1401 Clark Ave.,St. Louis,MO,63103,USA,19150.0,38.626667,-90.2025
26,True,Amalie Arena,401 Channelside Drive,Tampa,FL,33602,USA,19204.0,27.942778,-82.451944
27,True,Scotiabank Arena,40 Bay St.,Toronto,ON,M5J 2X2,CAN,18819.0,43.643333,-79.379167
28,True,Rogers Arena,800 Griffiths Way,Vancouver,BC,V6B 6G1,CAN,18890.0,49.277778,-123.108889
29,True,Capital One Arena,601 F St. N.W.,Washington,DC,20004,USA,18506.0,38.898056,-77.020833
30,True,Canada Life Centre,300 Portage Ave.,Winnipeg,MB,R3C 5S5,CAN,15015.0,49.892778,-97.143611
31,True,T-Mobile Arena,3780 S. Las Vegas Blvd.,Las Vegas,NV,89158,USA,17500.0,36.102778,-115.178333
39,True,Nassau Veterans Memorial Coliseum,1255 Hempstead Turnpike,Uniondale,NY,11553,USA,14500.0,,
40,True,O2 Arena,,Prague,,,CZ,,,
41,True,Ericsson Globe,,Stockholm,,,SE,,,
42,True,Cotton Bowl,1300 Robert B. Cullum Blvd. ,Dallas,TX,,USA,92000.0,32.779722,-96.759722
43,True,Climate Pledge Arena,305 Harrison St,Seattle,WA,98109,USA,17459.0,47.622,-122.354
44,False,Edgewood Tahoe Resort,180 Lake Parkway,Stateline,NV,89449,USA,,0.0,0.0
45,True,Nissan Stadium,1 Titans Way,Nashville,TN,37213,USA,69143.0,36.166389,-86.771389
46,True,Target Field,1 Twins Way,Minneapolis,MN,55403,USA,39021.0,44.981667,-93.278333
47,True,Webster Bank Arena,600 Main Street,Bridgeport,CT,06604,USA,10000.0,41.1732,-73.187
48,True,UBS Arena,2150 Hempstead Turnpike,Elmont,NY,11003,USA,17113.0,40.712094,-73.727157
51,True,Abbotsford Centre,33800 King Rd,Abbotsford,BC,V2S 8H8,Canada,7000.0,49.030665,-122.287145
53,True,Spokane Veterans Memorial Arena,720 W Mallon Ave,Spokane,WA,99201,USA,12638.0,47.666,-117.423
54,True,Vivint Arena,301 S Temple,Salt Lake City,UT,84101,USA,18300.0,40.768333,-111.901111
55,True,Angel of the Winds Arena,2000 Hewitt Avenue,Everett,WA,98201,USA,10000.0,47.978611,-122.203611
56,True,Cable Dahmer Arena,19100 E Valley View Pkwy,Independence,MO,64005,USA,5800.0,0.0,0.0
57,True,accesso ShoWare Center,625 W James St,Kent,WA,98032,USA,6500.0,0.0,0.0
58,True,El Paso County Coliseum,4100 East Paisano Street,El Paso,TX,79905,USA,6500.0,0.0,0.0
59,True,Amway Center,400 W Church St,Orlando,FL,32801,USA,20000.0,28.539167,-81.383611
60,True,Tim Hortons Field,64 Melrose Ave N,Hamilton,ON,L8L 8C1,Canada,23218.0,43.252114,-79.8301
61,True,Mullett Arena,411 S. Packard Dr.,Tempe,AZ,85281,USA,5000.0,33.426667,-111.928611
62,False,Fenway Park,4 Jersey Street,Boston,MA,02215,USA,37305.0,0.0,0.0
63,True,Carter-Finley Stadium,4600 Trinity Rd,Raleigh,NC,27607,USA,57583.0,0.0,0.0
64,True,Nokia Arena,Sorinkatu 3,Tampere,,,Finland,13455.0,61.493952,23.772955
65,False,Intrust Bank Arena,500 E Waterman St,Wichita,KS,67202,USA,13450.0,37.683056,-97.331389
66,False,Tucson Convention Center Arena,260 S Church Ave,Tucson,AZ,85701,USA,6791.0,32.218333,-110.974167
67,False,BOK Center,200 S Denver Ave,Tulsa,OK,74103,USA,17096.0,36.152722,-95.996333
68,False,Toyota Arena,4000 E Ontario Center Pkwy,Ontario,CA,,USA,9736.0,34.072947,-117.566401
